,plot,Census_n,census,Start_date,End_date,Census_date,Mid_date,Month,Day,Year,JulianDate
1,DNM1_01,1,01_census_2006,6-Apr-06,15-Apr-06,2006.273,10-Apr-06,4,10,2006,16901
2,DNM1_01,2,01_census_2013,5-Nov-13,9-Nov-13,2013.85,7-Nov-13,11,7,2013,19669
3,DNM1_01,3,01_census_2016,11-May-16,11-May-16,2016.358,11-May-16,5,11,2016,20585
4,DNM2_02,1,02_census_2006,10-Apr-06,10-Apr-06,2006.271,10-Apr-06,4,10,2006,16901
5,DNM2_02,2,02_census_2013,13-Nov-13,26-Nov-13,2013.884,19-Nov-13,11,19,2013,19681
6,DNM2_02,3,02_census_2016,2-Jun-16,2-Jun-16,2016.418,2-Jun-16,6,2,2016,20607
7,DNM3_03,1,03_census_2006,13-Apr-06,13-Apr-06,2006.279,13-Apr-06,4,13,2006,16904
8,DNM3_03,2,03_census_2013,27-Nov-13,14-Dec-13,2013.928,5-Dec-13,12,5,2013,19697
9,DNM3_03,3,03_census_2016,15-Jun-16,15-Jun-16,2016.454,15-Jun-16,6,15,2016,20620
10,SPKH_04,1,04_census_2001,10-May-01,19-Jun-01,2001.408,30-May-01,5,30,2001,15125
11,SPKH_04,2,04_census_2008,2-Aug-08,18-Aug-08,2008.607,10-Aug-08,8,10,2008,17754
12,SPKH_04,3,04_census_2014,3-Dec-14,3-Dec-14,2014.921,3-Dec-14,12,3,2014,20060
13,SPKH_05,1,05_census_2001,3-May-01,25-Jun-01,2001.407,29-May-01,5,29,2001,15124
14,SPKH_05,2,05_census_2008,21-Aug-08,5-Sep-08,2008.658,28-Aug-08,8,28,2008,17772
15,SPKH_05,3,05_census_2014,8-Oct-14,8-Oct-14,2014.767,8-Oct-14,10,8,2014,20004
16,SPKS_08,1,08_census_2001,11-Dec-00,28-Feb-01,2001.051,19-Jan-01,1,19,2001,14994
17,SPKS_08,2,08_census_2009,7-May-09,28-May-09,2009.374,17-May-09,5,17,2009,18034
18,SPKS_08,3,08_census_2014,4-Mar-14,16-Oct-14,2014.48,25-Jun-14,6,25,2014,19899
19,SPKA_09,1,09_census_2001,10-Nov-00,29-Nov-00,2000.884,19-Nov-00,11,19,2000,14933
20,SPKA_09,2,09_census_2009,17-Nov-09,10-Dec-09,2009.909,28-Nov-09,11,28,2009,18229
21,SPKA_09,3,09_census_2014,3-Jul-14,30-Jul-14,2014.538,16-Jul-14,7,16,2014,19920
22,SPKA_10,1,10_census_2001,10-Nov-00,10-Nov-00,2000.858,10-Nov-00,11,10,2000,14924
23,SPKA_10,2,10_census_2009,3-Aug-09,3-Aug-09,2009.586,3-Aug-09,8,3,2009,18112
24,SPKA_10,3,10_census_2014,29-May-14,20-Jun-14,2014.436,9-Jun-14,6,9,2014,19883
25,SPKH_30,1,30_census_2001,2-May-01,2-May-01,2001.332,2-May-01,5,2,2001,15097
26,SPKH_30,2,30_census_2010,19-May-10,22-Jul-10,2010.466,20-Jun-10,6,20,2010,18433
27,SPKH_30,3,30_census_2015,5-Nov-14,14-May-15,2015.104,8-Feb-15,2,8,2015,20127
